GPA,Grade,Gender,Gender_desc,calories_day,calories_day_desc,comfort_food_reasons_coded,comfort_food_reasons_coded_desc,cook,cook_desc,cuisine,cuisine_desc,diet_current_coded,diet_current_coded_desc,eating_out,eating_out_desc,employment,employment_desc,ethnic_food,ethnic_food_desc,exercise,exercise_desc,fav_cuisine_coded,fav_cuisine_coded_desc,fav_food,fav_food_desc,food_childhood,food_childhood_split,fruit_day,fruit_day_desc,greek_food,greek_food_desc,healthy_feeling,income,income_desc,indian_food,indian_food_desc,italian_food,italian_food_desc,marital_status,marital_status_desc,nutritional_check,nutritional_check_desc,on_off_campus,on_off_campus_desc,parents_cook,parents_cook_desc,pay_meal_out,pay_meal_out_desc,persian_food,persian_food_desc,self_perception_weight,self_perception_weight_desc,sports,sports_desc,thai_food,thai_food_desc,veggies_day,veggies_day_desc,vitamins,vitamins_desc,weight
2.4,C,2,Male,,,9,none,2,A couple of times a week,,,1,healthy/balanced/moderated/,3,2-3 times,3,no,1,very unlikely,1,Everyday,3,Arabic/Turkish,1,cooked at home,rice  and chicken ,rice  and chicken ,5,very likely,5,very likely,2,5,"$70,001 to $100,000",5,very likely,5,very likely,1,Single ,5,on everything,1,On campus,1,Almost everyday,2,$5.01 to $10.00,5,very likely,3,just right,1,Yes,1,very unlikely,5,very likely,1,Yes,187
3.654,B+,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",1,American,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,4,likely,1,Everyday,1,Italian/French/greek,1,cooked at home,"chicken and biscuits, beef soup, baked beans",chicken and biscuits,4,likely,4,likely,5,4,"$50,001 to $70,000",4,likely,4,likely,2,In a relationship ,4,on most products,1,On campus,1,Almost everyday,4,$20.01 to $30.00,4,likely,3,just right,1,Yes,2,unlikely,4,likely,2,No,155
3.3,B,1,Female,4,it is very important,1,stress,1,Every day,3,Korean/Asian,3,the same thing over and over,2,1-2 times,3,no,5,very likely,2,Twice or three times per week,1,Italian/French/greek,3,both bought at store and cooked at home,"mac and cheese, pizza, tacos",mac and cheese,5,very likely,5,very likely,6,6,"higher than $100,000",5,very likely,5,very likely,2,In a relationship ,4,on most products,2,Rent out of campus,1,Almost everyday,3,$10.01 to $20.00,5,very likely,6,i dont think myself in these terms,2,No,5,very likely,5,very likely,1,Yes,
3.2,B,1,Female,3,it is moderately important ,2,boredom,2,A couple of times a week,2,Mexican.Spanish,2,unhealthy/cheap/too much/random/,2,1-2 times,3,no,5,very likely,3,Once a week,3,Arabic/Turkish,1,cooked at home,"Beef stroganoff, tacos, pizza",Beef stroganoff,4,likely,5,very likely,7,6,"higher than $100,000",5,very likely,5,very likely,2,In a relationship ,2,on certain products only,1,On campus,1,Almost everyday,2,$5.01 to $10.00,5,very likely,5,overweight,2,No,5,very likely,3,neutral,1,Yes,240
3.5,B+,1,Female,2,it is not at all important ,1,stress,1,Every day,2,Mexican.Spanish,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,4,likely,1,Everyday,1,Italian/French/greek,3,both bought at store and cooked at home,"Pasta, chicken tender, pizza ",Pasta,4,likely,4,likely,6,6,"higher than $100,000",2,unlikely,5,very likely,1,Single ,3,very rarely,1,On campus,1,Almost everyday,4,$20.01 to $30.00,2,unlikely,4,slightly overweight,1,Yes,4,likely,4,likely,2,No,190
2.25,C,1,Female,3,it is moderately important ,4,hunger,3,"Whenever I can, but that is not very often",,,2,unhealthy/cheap/too much/random/,1,Never,3,no,4,likely,2,Twice or three times per week,6,African,3,both bought at store and cooked at home,"Fries, plaintain & fried fish",Fries,2,unlikely,2,unlikely,4,1,"less than $15,000",5,very likely,5,very likely,2,In a relationship ,1,never,1,On campus,2,2-3 times a week,5,$30.01 to $40.00,5,very likely,5,overweight,2,No,4,likely,1,very unlikely,2,No,190
3.8,B+,2,Male,3,it is moderately important ,1,stress,2,A couple of times a week,1,American,3,the same thing over and over,2,1-2 times,3,no,5,very likely,1,Everyday,4,asian/chineses/thai/nepal,1,cooked at home,"grilled chicken, hamburgers",grilled chicken,4,likely,5,very likely,4,4,"$50,001 to $70,000",5,very likely,5,very likely,1,Single ,4,on most products,2,Rent out of campus,2,2-3 times a week,2,$5.01 to $10.00,5,very likely,4,slightly overweight,1,Yes,5,very likely,4,likely,1,Yes,180
3.3,B,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,2,1-2 times,2,yes part time,2,unlikely,2,Twice or three times per week,5,American,1,cooked at home,"chicken, cheesey potatoes, and hot dogs",chicken,5,very likely,3,neutral,3,5,"$70,001 to $100,000",1,very unlikely,3,neutral,1,Single ,4,on most products,1,On campus,1,Almost everyday,5,$30.01 to $40.00,1,very unlikely,3,just right,2,No,1,very unlikely,4,likely,2,No,137
3.3,B,1,Female,,,2,boredom,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,5,every day,2,yes part time,5,very likely,,,1,Italian/French/greek,3,both bought at store and cooked at home,"Shrimp, spaghetti",Shrimp,4,likely,5,very likely,7,5,"$70,001 to $100,000",5,very likely,5,very likely,2,In a relationship ,2,on certain products only,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,5,very likely,4,slightly overweight,2,No,5,very likely,3,neutral,2,No,180
3.3,B,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,3,2-3 times,3,no,5,very likely,1,Everyday,1,Italian/French/greek,1,cooked at home,"Pasta, Eggs, Pancakes ",Pasta,5,very likely,5,very likely,3,4,"$50,001 to $70,000",4,likely,5,very likely,2,In a relationship ,5,on everything,1,On campus,3,1-2 times a week,3,$10.01 to $20.00,4,likely,3,just right,1,Yes,4,likely,5,very likely,1,Yes,125
3.5,B+,1,Female,3,it is moderately important ,2,boredom,1,Every day,1,American,1,healthy/balanced/moderated/,2,1-2 times,1,yes full time,5,very likely,1,Everyday,4,asian/chineses/thai/nepal,1,cooked at home,Chicken,Chicken,5,very likely,1,very unlikely,9,3,"$30,001 to $50,000",1,very unlikely,5,very likely,1,Single ,2,on certain products only,3,Live with my parents and commute,1,Almost everyday,2,$5.01 to $10.00,2,unlikely,1,slim,1,Yes,2,unlikely,5,very likely,2,No,116
3.904,B+,1,Female,4,it is very important,3,depression/sadness,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,1,Never,2,yes part time,5,very likely,1,Everyday,1,Italian/French/greek,1,cooked at home,Scalloped potatoes and ham ,Scalloped potatoes and ham ,5,very likely,5,very likely,1,5,"$70,001 to $100,000",5,very likely,5,very likely,2,In a relationship ,5,on everything,1,On campus,1,Almost everyday,3,$10.01 to $20.00,5,very likely,2,very fit,1,Yes,5,very likely,5,very likely,1,Yes,110
